,Concept_ID,cv,mrj
142,Ei::N,ҫӑмарта,мыны
143,Nest::N,йӑва,пӹжӓш
144,Bau::N,йӗнӗ,ыраж
145,Tier::N,выльӑх,во́льык
146,Herde::N,кӗтӳ,кӹтö
147,Kuh::N,ӗне,ышкал
148,Bulle::N,вӑкӑр,ӱшкӱж
149,Pferd::N,лаша,имни
150,Schaf::N,сурӑх,шарык
151,Schwein::N,сысна,сасна
152,Hund::N,йытӑ,пи
153,Katze::N,кушак,коти
154,Bär::N,упа,мöскӓ
155,Eichhörnchen::N,пакша,ур
156,Elch::N,пӑши,шарды
157,Fuchs::N,тилӗ,рӹвӹж
158,Hase::N,куян,морен
159,Hase::N,мулкач,морен
160,Maus::N,шӑши,каля
161,Wolf::N,кашкӑр,пирӹ
162,Vogel::N,кайӑк,кек
163,Vogel::N,вӗҫен кайӑк,кек
164,Schwarm::N,ушкӑн,цуца
165,Huhn::N,чӑх,цӹвӹ
166,Huhn::N,чӑхӑ,цӹвӹ
167,Hahn::N,автан,ӓптӓн
168,Gans::N,хур,комбы
169,Adler::N,ӑмӑрт кайӑк,кучкыж
170,Ente::N,кӑвакал,лыды
171,Eule::N,тӑмана,тымана
172,Kranich::N,тӑрна,тырня
173,Kranich::N,тӑрна,тыртня
174,Krähe::N,ула курак,лудыгарак
175,Kuckuck::N,куккук,куку
176,Schwan::N,акӑш,йӱксӹ
177,Fisch::N,пулӑ,кол
178,Barsch::N,уланкӑ,алангы
179,Hecht::N,ҫӑрттан,нуж
180,Hecht::N,ҫӑрттан,нужгол
181,Schlange[Tier]::N,ҫӗлен,кӹшкы
182,Wurm::N,ӑман,шукш
183,Spinne::N,эрешмен,ӓнгӹремшӹ
184,Ameise::N,кӑткӑ,кыткы
185,Laus::N,пыйтӑ,ти
186,Mücke::N,вӑрӑм туна,кужнер
187,Mücke::N,вӑрӑм туна,кужынер
188,Fliege::N,шӑна,шӹнгӓ
189,Schmetterling::N,лӗпӗш,лӹпӹ
190,Beere::N,ҫырла,мöр
191,Apfel::N,улма,олма
192,Apfel::N,пан улми,олма
193,Pilz::N,кӑмпа,понгы
194,Zwiebel::N,сухан,охыра
195,Saat::N,вӑрӑ,нӱшмӹ
196,Saat::N,вӑрӑ,нӱшмӱ
197,Korn::N,тӗшӗ,пӹрцӹ
198,Korn::N,пӗрчӗ,пӹрцӹ
199,Heu::N,утӑ,шуды
200,Schale::N,хупӑ,аваха
201,Schale::N,хупӑ,карлангы
202,Grube::N,шӑтӑк,йӓм
203,Falle::N,тапӑ,лӱдӹ
204,Falle::N,тапӑ,лӱдӹш
205,Falle::N,капкӑн,лӱдӹ
206,Falle::N,капкӑн,лӱдӹш
207,Schlinge::N,йӑлӑ,онгы
208,Spur::N,йӗр,кишӓ
209,Asche::N,кӗл,ломых
210,Asche::N,кӗл,ломпыж
211,Dreck::N,пылчӑк,лявӹрӓ
212,Eisen::N,тимӗр,кӹртни
213,Gold::N,ылтӑн,шöртни
214,Gold::N,ылтӑн,шöртньӹ
215,Silber::N,кӗмӗл,ши
216,Kohle::N,кӑмрӑк,шӱ
217,Glas::N,кӗленче,охоница
218,Lehm::N,тӑм,шун
219,Sand::N,хӑйӑр,ошма
220,Mensch::N,ҫын,эдем
221,Mensch::N,этем,эдем
222,Mann::N,ар,пӱэргӹ
223,Frau::N,хӗрарӑм,ӹдӹрӓмӓш
224,Kind::N,ача,ӓзӓ
225,Kind::N,ача,шачшы
226,Junge::N,ача,рвезӹ
227,Junge::N,ача,ӹрвезӹ
228,Junge::N,ар ҫын ача,рвезӹ
229,Junge::N,ар ҫын ача,ӹрвезӹ
230,Mädchen::N,хӗр ача,ӹдӹрӓш
231,Familie::N,ҫемье,йиш
232,Familie::N,ҫемье,семня
233,Familie::N,кил-йыш,йиш
234,Familie::N,кил-йыш,семня
235,Großvater::N,кукаҫи,тьоти
236,Großmutter::N,кукамай,папа
237,Eltern::N,аҫа-ама,ӓтя-ӓвӓ
238,Vater::N,атте,ӓтя
239,Mutter::N,анне,ӓвӓ
240,Sohn::N,ывӑл,эргӹ
241,Tochter::N,хӗр,ӹдӹр
242,Bruder::N,ар тӑван,ӹза
243,Schwester::N,аппа,ӓкӓ
244,Schwester::N,йӑмӑк,ӓкӓ
245,Onkel::N,мучи,кугуза
246,Onkel::N,пичче,кугуза
247,Tante::N,аппа,куака
248,Ehemann::N,упӑшка,мары
249,Ehefrau::N,арӑм,вӓтӹ
250,Freude::N,савӑнӑҫ,ӹвӹртӹмӓш
251,Freude::N,хаваслӑх,ӹвӹртӹмӓш
252,Gelächter::N,кулӑ,ваштылмаш
253,Glück::N,телей,пиӓл
254,Glück::N,ӑраскал,пиӓл
255,Kummer::N,хурлӑх,ясы
256,Wunsch::N,ӗмӗт,охата
257,Wunsch::N,ӗмӗт,шанымаш
258,Wunsch::N,кӑмӑл,охата
259,Wunsch::N,кӑмӑл,шанымаш
260,Lust::N,кӑмӑл,шӓр
261,Lust::N,кӑмӑл,охата
262,Lust::N,кӑмӑл,шанымаш
263,Geist::N,чун-чӗм,тух
264,Geist::N,ыр-усал,тух
265,Geist::N,чун хавалӗ,тух
266,Gedanke::N,шухӑш,шанымаш
267,Gedächtnis::N,ас,ӓш
268,Verstand::N,ӑс,ыш
269,Verstand::N,ӑс-тӑн,ыш
270,Verstand::N,ӑс-хакӑл,ыш
271,Sinn::N,тупсӑм,кын
272,Sinn::N,пӗлтерӗш,кын
273,Grund::N,сӑлтав,вир
274,Wahrheit::N,чӑнлӑх,тöр
275,Gespräch::N,калаҫу,хытырымаш
276,Märchen::N,юмах,ямак
277,Erzählung::N,акалав,шайыштмаш
278,Erzählung::N,каласа пани,шайыштмаш
279,Nachricht::N,хыпар,увертӓрӹмӓш
280,Neuigkeit::N,ҫӗнӗ хыпар,увер
281,Name::N,ят,лӹм
282,Rätsel::N,сутмалли юмах,тышты
283,Rede::N,сӑмах,шая
284,Rede::N,сӑмах,шамак
285,Sprache::N,чӗлхе,йӹлмӹ
286,Stimme::N,сасӑ,юк
287,Wort::N,сӑмах,шамак
288,Zeichen::N,паллӑ,палӹ
289,Ruf::N,йыхрав,сӹгӹрӹмӓш
290,Ruf::N,чӗнӳ,сӹгӹрӹмӓш
291,Lärm::N,шав,юкланымащ
292,Laut::N,сасӑ,юк
293,Ton::N,сасӑ,юк
294,Lied::N,юрӑ,мыры
295,Ruhe::N,канӑҫлӑх,тыр
296,Ruhe::N,лӑпкӑлӑх,тыр
297,Leute::N,ҫамрӑксем,эдемвлӓ
298,Leute::N,ҫамрӑк ҫынсем,эдемвлӓ
299,Volk::N,халӑх,халык
300,Arbeit::N,ӗҫхӗл,пӓшӓ
301,Arbeit::N,ӗҫлев,пӓшӓ
302,Gast::N,хӑна,хына
303,Geschenk::N,парне,подарка
304,Geschenk::N,кучченеҫ,подарка
305,Spiel::N,вӑйӑ,мадыш
306,Gesellschaft::N,общество,йӓл
307,Gesellschaft::N,общество,йӓлвлӓ
308,Hilfe::N,пулӑшу,палшык
309,Freund::N,тус,тӓнг
310,Kamerad::N,юлташ,тос
311,Kamerad::N,тус,тос
312,Angelegenheit::N,ӗҫ,дела
313,Angelegenheit::N,ӗҫ,йела
314,Angelegenheit::N,ӗҫ,йыла
315,Angelegenheit::N,ӗҫ,пӓшӓ
316,Anzahl::N,йыш,шот
317,Anzahl::N,хисеп,шот
318,Art::N,тӗс,цӹре
319,Stück::N,татӑк,лаштык
320,Teil::N,пай,пай
321,Teil::N,пай,часть
322,Hälfte::N,ҫурӑ,пел
323,Kreis::N,ункӑ,тӹртӹш
324,Kreis::N,ҫавракӑш,тӹртӹш
325,Kreuz::N,хӗрес,крестӹ
326,Linie::N,йӗр,
327,Strich::N,йӗр,
328,Abstand::N,хушӑ,ло
329,Entfernung::N,хушӑ,ло
330,Gegend::N,вырӑн,вӓр
331,Platz::N,хутлӑх,вӓр
332,Ort::N,вырӑн,вӓр
333,Seite::N,ен,öрдӹж
334,Seite::N,аяк,öрдӹж
335,Seite::N,айӑк,öрдӹж
336,Mitte::N,варӑ,ло
337,Gegenstand::N,япала,хӓдӹр
338,Sache::N,япала,хӓдӹр
339,Rand::N,вӗҫ,шöр
340,Rand::N,хӗрӗ,шöр
341,Rand::N,хӗрри,шöр
342,Kante::N,хайкача,шöр
343,Kante::N,хысак,шöр
344,Ecke::N,кӗтес,лык
345,Spitze::N,вӗҫ,вуй
346,Ende::N,вӗҫ,вуй
347,Ende::N,вӗҫ,мычаш
348,Loch::N,шӑтӑк,ыраж
349,Winkel::N,кӗтес,лык
350,Muster::N,эреш,тӹрлец
351,Größe::N,пысӑкӑш,кӱкшӹц
352,Länge::N,вӑрӑмӑш,кыт
353,Höhe::N,ҫӳллӗш,кӱкшӹц
354,Gewicht::N,виҫе,нелӹц
355,Gewicht::N,йывӑрӑш,нелӹц
356,Menge::N,йыш,шот
357,Haufen::N,купа,ара
358,Reihe::N,рет,ряд
359,Boot::N,кимӗ,пыш
360,Ruder::N,кӗсмен,вешлӓ
361,Schlitten::N,ҫуна,тир
362,Ski::N,йӗлтӗр,ечӹ
363,Lagerfeuer::N,вут,тыл
364,Lagerfeuer::N,кӑвайт,тыл
365,Last::N,сулмаклӑх,нелӹц
366,Last::N,йывӑр япала,нелӹц
367,Gang::N,куҫӑм,ход
368,Schritt::N,утӑм,ашкыл
369,Schritt::N,пусӑм,ашкыл
370,Norden::N,ҫурҫӗр,йыдпелвел
371,Süden::N,кӑнтӑр,кечӹвӓлвел
372,Westen::N,анӑҫ,кечӹ шӹцмӹ
373,Westen::N,хӗвел анӑҫ,кечӹ шӹцмӹ
374,Osten::N,хӗвел тухӑҫ,ирвел
375,Osten::N,хӗвел тухӑҫ,кечӹ лӱлтмӹ
376,Holz::N,йывӑҫ,пушӓнгӹ
377,Brett::N,хӑма,ханга
378,Platte::N,плита,плитӓ
379,Stütze::N,ура,цӓрӓк
380,Stange::N,шерте,равы
381,Stange::N,шерте,намаш
382,Stock::N,патак,панды
383,Stab::N,шӑчӑ,равы
384,Rohr::N,пӑрӑх,пыч
385,Haus::N,ҫурт,пöрт
386,Heim::N,кил,пöрт
387,Ofen::N,кӑмака,камака
388,Fußboden::N,урай,седӹрӓ
389,Tisch::N,сӗтел,стöл
390,Stuhl::N,пукан,пöкен
391,Wiege::N,сӑпка,шипкӓ
392,Bett::N,кравать,койка
393,Bett::N,кравать,кравать
394,Regal::N,ҫӳлӗк,полицӓ
395,Regal::N,сентре,полицӓ
396,Kiste::N,ещӗк,шӱ́ндӹк
397,Kiste::N,сунтӑх,шӱ́ндӹк
398,Fenster::N,чӳрече,окня
399,Tür::N,алӑк,амаса
400,Tor::N,хапха,хапка
401,Zaun::N,хӳме,забор
402,Dach::N,тӑрӑ,левӓш
403,Leiter::N,пусма,ташкалтыш
404,Besen::N,шӑпӑр,сало
405,Besen::N,шӑпӑр,салко
406,Spaten::N,кӗреҫе,кольмы
407,Schaufel::N,кӗреҫе,лоток
408,Gabel::N,вилка,ви́лка
409,Löffel::N,кашӑк,савала
410,Messer::N,ҫӗҫӗ,кӹзӹ
411,Nagel::N,пӑта,пыда
412,Netz::N,тетел,вӓпш
413,Haken::N,йӑрхах,крӱк
414,Haken::N,йӑрхах,кагак
415,Haken::N,ҫекӗл,крӱк
416,Haken::N,ҫекӗл,кагак
417,Griff::N,хӑлӑп,кычем
418,Schloss::N,ҫӑра,замок
419,Schloss::N,ҫӑра,сыравач
420,Bild::N,сӑн,картин
421,Bild::N,сӑнлӑх,картин
422,Bild::N,картина,картин
423,Figur::N,кӗлетке,кӓн
424,Puppe::N,пукане,поханя
425,Beutel::N,михӗ,мешӓк
426,Bündel::N,ҫыхӑ,топ
427,Bündel::N,ҫыхӑ,пидӹш
428,Bündel::N,ҫыхӑ,кӹлдӹш
429,Bündel::N,тӗрке,топ
430,Bündel::N,тӗрке,пидӹш
431,Bündel::N,тӗрке,кӹлдӹш
432,Tasche::N,сумка,сумкы
433,Eimer::N,витре,ведӹрӓ
434,Deckel::N,хупӑ,комдыш
435,Geschirr::N,савӑт-сапа,ӓтӹ
436,Sack::N,михӗ,мешӓк
437,Tasse::N,курка,цӓшкӓ
438,Topf::N,кастрюль,ми́ска
439,Kessel::N,хуран,пад
440,Essen::N,апат,качкыш
441,Essen::N,апат,качкыш-йӱш
442,Nahrung::N,апат-ҫимӗс,качкыш
443,Nahrung::N,апат-ҫимӗс,качкыш-йӱш
444,Speise::N,апат,няня
445,Speise::N,ҫимӗҫ,няня
446,Fleisch::N,аш,пай
447,Fleisch::N,какай,пай
448,Getreide::N,тырӑ,киндӹ
449,Brei::N,пӑтӑ,шӹрӓш
450,Brot::N,ҫӑкӑр,сыкыр
451,Scheibe::N,чӗлӗ,ламыт
452,Scheibe::N,чӗлӗ,лаштык
453,Scheibe::N,касӑк,ламыт
454,Scheibe::N,касӑк,лаштык
455,Fett::N,ҫу,кая
456,Butter::N,ҫу,ӱ
457,Öl::N,ҫу,ӱ
458,Salz::N,тӑвар,санзал
459,Suppe::N,яшка,лем
460,Honig::N,пыл,мӱ
461,Milch::N,сӗт,шӹшер
462,Tee::N,чей,чӓй
463,Leder::N,сӑран,шарга
464,Leder::N,сӑран,кавашты
465,Wolle::N,ҫӑм,миж
466,Stoff::N,тӗртӗм,матер
467,Stoff::N,тӗртӗм,матери
468,Nadel::N,йӗп,им
469,Faden::N,ҫип,шӹртӹ
470,Knopf::N,тӳме,полдыш
471,Knoten::N,йӑлӑ,пӱкшем
472,Farbe::N,сӑрӑ,чиӓ
473,Farbe::N,сӑрӑ,крӓскӓ
474,Kleidung::N,тум,выргем
475,Kleidung::N,ҫипуҫ,выргем
476,Kleidung::N,тум-тир,выргем
477,Hemd::N,кӗпе,тыгыр
478,Kragen::N,ҫуха,шӱ
479,Ärmel::N,ҫанӑ,шокш
480,Hose::N,шӑлавар,ялаш
481,Gürtel::N,пиҫиххи,ӹштӹ
482,Mütze::N,ҫӗлӗк,упш
483,Schuh::N,пушмак,ту́фльы
484,Schuh::N,ботинок,ту́фльы
485,Stiefel::N,атӑ,кем
486,Ring::N,ҫӗрӗ,шӓргӓш
487,Band::N,хаю,лемтӓ
488,Band::N,йӗсме,лемтӓ
489,Kamm::N,тура,шерге
490,Spiegel::N,тӗкӗр,тӹгӹр
491,Spiegel::N,куҫ кӗски,тӹгӹр
492,Riemen::N,чӗн,прӓжӓ
493,Schnur::N,кантра,кӓндӹра
494,Leine::N,касмӑк,керем
495,Decke::N,утиял,одеял
496,Kissen::N,ҫытар,кӹпцӹк
497,Kissen::N,минтер,кӹпцӹк
498,Tuch::N,тутӑр,савыц
499,Handtuch::N,ал шӑлли,шӹргӹсавыц
500,Handtuch::N,ал шӑлли,шӹргӹмсавыц
501,Kraft::N,вӑй,ви
502,Kraft::N,хӑват,ви
503,Stärke::N,хал,ви
504,Stärke::N,хӑват,ви
505,Gesundheit::N,хал,шу
506,Gesundheit::N,хал,шулык
507,Gesundheit::N,сывлӑх,шу
508,Gesundheit::N,сывлӑх,шулык
509,Krankheit::N,чир,мыж
510,Schmerz::N,ырату,карштыш
511,Wunde::N,суран,шушыр
512,Fieber::N,сив чир,ӱштӹмыж
513,Arznei::N,эмел,лекӓрцӹ
514,Brücke::N,кӗпер,кӹвер
515,Brunnen::N,ҫӑл,вӹдсӹнзӓ
516,Brunnen::N,пусӑ,вӹдсӹнзӓ
517,Weide::N,ҫаран,ныр
518,Pfad::N,йӗр,ялгорны
519,Pfad::N,сукмак,ялгорны
520,Weg::N,ҫул,корны
521,Weg::N,ҫул-йӗр,корны
522,Straße::N,ҫӳрев,корны
523,Straße::N,ҫул ҫӳрени,корны
524,Dorf::N,ял,сола
525,Stadt::N,хула,города
526,Brief::N,ҫыру,сирмӓш
527,Buch::N,кӗнеке,книгӓ
528,Buchstabe::N,сас палли,буква́
529,Zeitung::N,хаҫат,газет
530,Zeitung::N,хаҫат,кайзет
531,Leben::N,пурнӑҫ,житя
532,Tod::N,вилӗм,смöрт
533,Grab::N,масар шӑтӑкӗ,шӹгер
534,Grab::N,масар шӑтӑкӗ,мыгилӓ
535,Grab::N,масар шӑтӑкӗ,шӹгерлӓ
536,Kirche::N,чиркӳ,церкӹ
537,Sünde::N,ҫылӑх,сулык
538,Gott::N,турӑ,йымы
539,Arbeiter::N,рабочи,пӓшӓзӹ
540,Chef::N,пуҫлӑх,вуй
541,Meister::N,ӑста,мастар
542,Meister::N,мастер,мастар
543,Arzt::N,врач,доктор
544,Arzt::N,тухтӑр,доктор
545,Lehrer::N,учитель,тымдышы
546,Lehrer::N,вӗрентекен,тымдышы
547,Geld::N,укҫа,окса
548,Geschäft::N,бизнес,торге́йӹмӓш
549,Laden::N,магазин,лапка
550,Laden::N,магазин,магазин
551,Preis::N,хак,ӓк
552,Ware::N,тавар,товар
553,Nutzen::N,пайта,пайда
554,Reichtum::N,мул,перке
555,Welt::N,тӗнче,сӓндӓлӹк
556,Welt::N,тӗнче,свет
557,Land::N,ҫӗр-шыв,сӓндӓлӹк
558,Staat::N,патшàлӑх,кугижӓншӹ
559,König::N,король,король
560,Macht::N,власть,власть
561,Grenze::N,чикӗ,пӹсмӓн
562,Krieg::N,вӑрҫӑ,вырсы
563,Feind::N,тӑшман,тышман
564,Gewalt::N,ирӗксӗрлӳ,ви
565,Kampf::N,кӗрешӳ,кредӓлмӓш
566,Bogen[Waffe]::N,ухӑ,янгеж
567,Pfeil::N,ҫӗмрен,пикш
568,Pfeil::N,ухӑ йӗппи,пикш
569,Gewehr::N,пӑшал,пичӓл
570,Fehler::N,йӑнӑш,самынь
571,Lüge::N,суя,шая
572,Lüge::N,ултав,шая
573,Schaden::N,сиен,вре́дӓ
574,Unglück::N,шар,пёда
575,Unglück::N,шар,тымаша
576,Unglück::N,инкек,пёда
577,Unglück::N,инкек,тымаша
578,Schuld::N,айӑп,вуйнамат
579,Alter::N,ҫул шучӗ,иӓш
580,Alter::N,ҫул шучӗ,игечӹ
581,Schluss::N,пӗтни,пӹтӓртӹш
582,Schluss::N,пӗтмӗш,пӹтӓртӹш
583,Zeit::N,вӑхӑт,веремӓ
584,Tag::N,кун,кечӹ
585,Morgen::N,ир,ир
586,Morgen::N,ир,ирок
587,Mittag::N,кӑнтӑрла,кечӹвӓл
588,Abend::N,каҫ,вады
589,Nacht::N,каҫ,йыд
590,Woche::N,эрне,ӓрня
591,Monat::N,уйӑх,тӹ́лзӹ
592,Jahr::N,ҫулталӑк,год
593,Frühling::N,ҫур,шошым
594,Frühling::N,ҫуркунне,шошым
595,Sommer::N,ҫу,кӓнгӹж
596,Sommer::N,ҫулла,кӓнгӹж
597,Herbst::N,кӗр,шӹжӹ
598,Herbst::N,кӗркунне,шӹжӹ
599,Winter::N,хӗл,тел
600,Winter::N,хӗл,телӹ
601,Winter::N,хӗлле,тел
602,Winter::N,хӗлле,телӹ
603,Januar::N,январь,январ
604,Januar::N,январь,январь
605,Februar::N,февраль,февраль
606,Februar::N,кӗҫӗн кӑрлач,февраль
607,März::N,март,март
608,März::N,пуш уйӑхӗ,март
609,April::N,апрель,апрель
610,Mai::N,май,май
611,Juni::N,июнь,июнь
612,Juli::N,июль,июль
613,August::N,август,август
614,September::N,сентябрь,сентябрь
615,September::N,авӑн уйӑхӗ,сентябрь
616,Oktober::N,октябрь,октябрь
617,November::N,ноябрь,ноябрь
618,Dezember::N,раштав,декавыр
619,Dezember::N,декабрь,декавыр
620,Montag::N,тунти кун,шачмы
621,Dienstag::N,ытлари кун,кышкыжмы
622,Mittwoch::N,юн кун,вӹрчегӹ
623,Donnerstag::N,кӗҫнерни кун,изӓрня
624,Freitag::N,эрне кун,когарня
625,Samstag::N,шӑмат кун,кукшыгечӹ
626,Sonntag::N,вырсарни кун,рушӓрня
627,groß::A,пысӑк,кого
628,klein::A,пӗчӗк,изи
629,lang::A,вӑрӑм,кужы
630,kurz::A,кӗске,кӹтӹк
631,breit::A,сарлака,кымда
632,schmal::A,ансӑр,ӓнгӹсӹр
633,dicht::A,йӑвӑ,шӹре
634,dick[Gegenstand]::A,хулӑн,кӹжгӹ
635,dünn::A,ҫинҫе,вӹцкӹж
636,dünn::A,ҫӳхе,вӹцкӹж
637,fein::A,тарай,пыльга
638,fein::A,вӗлтӗрти,пыльга
639,fest::A,тӗреклӗ,цаткыды
640,flach::A,лаптак,тӓлякӓ
641,glatt::A,такӑр,ягылгы
642,hart::A,хытӑ,пингӹдӹ
643,weich::A,ҫемҫе,пышкыды
644,rund::A,ҫавра,тӹртӹш
645,spitz::A,шӗвӗр,кашар
646,scharf::A,ҫивӗч,кашар
647,stumpf::A,мӑка,нӹшкӹ
648,stumpf::A,пуклак,нӹшкӹ
649,stumpf::A,тӗрӗнчӗк,нӹшкӹ
650,stumpf::A,ӑнкарусӑр,нӹшкӹ
651,schwer::A,йывӑр,нелӹ
652,schön::A,илемлӗ,цевер
653,schön::A,илемлӗ,олмыдшы
654,heiß::A,вӗри,шокшы
655,warm::A,ӑшӑ,шокшы
656,kalt::A,сивӗ,ӱштӹ
657,kühl::A,уҫӑ,юалгы
658,kühl::A,уҫӑ,йонгата
659,frisch::A,уҫӑ,йонгата
660,feucht::A,йӗпе,ӹлӹкшӹ
661,feucht::A,йӗпе,вӹдӹжгӹ
662,nass::A,нӳрӗ,начкы
663,trocken::A,типӗ,кукшы
664,voll::A,тулли,темшӹ
665,voll::A,тулли,темыман
666,leer::A,пушӑ,йӓрӓ
667,offen::A,уҫӑ,виш
668,geschlossen::A,хупӑ,чӱчмӹ
669,geschlossen::A,хупӑ,тӹкӹлӓлтшӹ
670,sauber::A,таса,ире
671,schmutzig::A,пылчӑклӑ,шоран
672,schmutzig::A,пылчӑклӑ,лявӹрӓн
673,schmutzig::A,пылчӑклӑ,шорангшы
674,schmutzig::A,вараланчӑк,шоран
