,Concept_ID,mhr,ca
175,Eichhörnchen::N,ур,esquirol
176,Elch::N,шо́рдо,ant
177,Fuchs::N,ры́выж,guilla
178,Hase::N,мера́ҥ,llebre
179,Maus::N,коля́,ratolí
180,Wolf::N,пи́ре,llop
181,Vogel::N,ка́йык,au
182,Vogel::N,ка́йык,ocēll
183,Schwarm::N,каша́к,bandada
184,Huhn::N,чы́ве,gallina
185,Hahn::N,агыта́н,gall
186,Gans::N,ко́мбо,oca
187,Adler::N,карагу́ш,àguila
188,Ente::N,лу́до,ànec
189,Eule::N,тумна́,òliba
190,Eule::N,тумна́,mussol
191,Kranich::N,турня́,grua
192,Krähe::N,кора́к,cornella
193,Kuckuck::N,куку́,cucut
194,Schwan::N,йӱ́ксӧ,cigne
195,Fisch::N,кол,peix
196,Barsch::N,ола́ҥге,perca
197,Hecht::N,нуж,lluç
198,Hecht::N,чорта́н,lluç
199,Schlange[Tier]::N,ки́шке,serp
200,Wurm::N,шукш,cuc
201,Spinne::N,эҥыре́мыш,aranya
202,Ameise::N,ку́тко,formiga
203,Laus::N,тий,poll
204,Mücke::N,шыҥа́,mosquit
205,Fliege::N,ка́рме,mosca
206,Schmetterling::N,лы́ве,papallona
207,Beere::N,мӧр,baia
208,Apfel::N,олма́,poma
209,Pilz::N,по́ҥго,bolet
210,Zwiebel::N,шога́н,ceba
211,Saat::N,нӧ́шмӧ,sembra
212,Saat::N,туш,sembra
213,Korn::N,шу́рно,gra
214,Heu::N,шу́до,fenc
215,Schale::N,шӱм,closca
216,Grube::N,выне́м,sot
217,Grube::N,выне́м,clot
218,Falle::N,лӧ́дӧ,trampa
219,Schlinge::N,о́птыш,baga
220,Schlinge::N,шӧрга́лтыш,baga
221,Spur::N,кыша́,traça
222,Asche::N,ло́мыж,cendra
223,Dreck::N,лавыра́,llot
224,Eisen::N,кӱ́ртньӧ,ferro
225,Gold::N,шӧ́ртньӧ,or
226,Silber::N,ший,plata
227,Kohle::N,мландышӱ́й,carbó
228,Glas::N,янда́,vidre
229,Lehm::N,шун,fang
230,Lehm::N,шун,argila
231,Sand::N,ошма́,arena
232,Mensch::N,еҥ,humà
233,Mensch::N,еҥ,persona
234,Mensch::N,айде́ме,humà
235,Mensch::N,айде́ме,persona
236,Mann::N,пӧръе́ҥ,home
237,Frau::N,ӱдырама́ш,dona
238,Kind::N,аза́,nen
239,Junge::N,рве́зе,noi
240,Mädchen::N,ӱдыра́ш,noia
241,Familie::N,еш,família
242,Großvater::N,коча́,avi
243,Großmutter::N,кова́,àvia
244,Eltern::N,ача́-ава́,pares
245,Vater::N,ача́,pare
246,Mutter::N,ава́,mare
247,Sohn::N,э́рге,fill
248,Tochter::N,ӱ́дыр,filla
249,Bruder::N,иза́,germà
250,Bruder::N,шо́льо,germà
251,Schwester::N,ака́,germana
252,Onkel::N,иза́,oncle
253,Tante::N,кока́,tia
254,Ehemann::N,мари́й,espòs
255,Ehefrau::N,ва́те,muller
256,Freude::N,куа́н,goig
257,Freude::N,куа́н,alegria
258,Freude::N,куаныма́ш,goig
259,Freude::N,куаныма́ш,alegria
260,Gelächter::N,во́штылтыш,riallada
261,Glück::N,пиа́л,felicitat
262,Kummer::N,о́йго,pena
263,Wunsch::N,ку́мыл,desig
264,Lust::N,ку́мыл,ganes
265,Geist::N,ӧрт,ment
266,Geist::N,ӧрт,esperit
267,Geist::N,чон,ment
268,Geist::N,чон,esperit
269,Gedanke::N,ой,pensament
270,Gedanke::N,шоныма́ш,pensament
271,Gedächtnis::N,шарныма́ш,memòria
272,Verstand::N,уш,raó
273,Verstand::N,уш,seny
274,Sinn::N,смысл,solta
275,Sinn::N,смысл,sentit
276,Grund::N,ама́л,raó
277,Grund::N,ама́л,causa
278,Wahrheit::N,чын,veritāt
279,Gespräch::N,мутланыма́ш,conversa
280,Märchen::N,йома́к,conte
281,Erzählung::N,ойлыма́ш,narració
282,Nachricht::N,увертарыма́ш,missatge
283,Neuigkeit::N,уве́р,novetat
284,Name::N,лӱм,nom
285,Rätsel::N,ту́што,endevinalla
286,Rede::N,ойлыма́ш,discurs
287,Sprache::N,йы́лме,llēngua
288,Stimme::N,йӱк,veu
289,Wort::N,ой,mot
290,Wort::N,ой,paraula
291,Wort::N,мут,mot
292,Wort::N,мут,paraula
293,Zeichen::N,ти́ште,signe
294,Zeichen::N,ти́ште,senyal
295,Zeichen::N,знак,signe
296,Zeichen::N,знак,senyal
297,Ruf::N,ӱжма́ш,crida
298,Lärm::N,лӱшкыма́ш,sorōll
299,Lärm::N,йӱк-йӱа́н,sorōll
300,Laut::N,йӱк,so
301,Ton::N,йӱксе́м,to
302,Lied::N,му́ро,cançó
303,Ruhe::N,ты́мык,calma
304,Ruhe::N,ты́мык,silenci
305,Leute::N,еҥ-влак,gent
306,Volk::N,ка́лык,poble
307,Arbeit::N,паша́,labor
308,Arbeit::N,паша́,treball
309,Gast::N,уна́,hoste
310,Geschenk::N,пӧле́к,regal
311,Geschenk::N,пӧле́к,obsequi
312,Spiel::N,мо́дыш,joc
313,Spiel::N,модма́ш,joc
314,Gesellschaft::N,тӱшка́,companyia
315,Hilfe::N,по́лыш,ajut
316,Freund::N,таҥ,amīc
317,Freund::N,йолта́ш,amīc
318,Kamerad::N,таҥ,company
319,Kamerad::N,таҥ,camarada
320,Angelegenheit::N,паша́,afer
321,Angelegenheit::N,паша́,assumpte
322,Anzahl::N,чот,nombre
323,Anzahl::N,чот,quantitat
324,Art::N,вид,tipus
325,Art::N,вид,classe
326,Stück::N,ка́тыш,peça
327,Stück::N,ла́стык,peça
328,Teil::N,ужа́ш,part
329,Hälfte::N,пел,meitat
330,Hälfte::N,пе́ле,meitat
331,Kreis::N,ты́ртыш,cercle
332,Kreuz::N,ыре́с,creu
333,Linie::N,ли́ний,línia
334,Strich::N,коре́ш,traç
335,Strich::N,коре́ш,ratlla
336,Abstand::N,кокла́,distància
337,Entfernung::N,тора́,distància
338,Entfernung::N,ку́жыт,distància
339,Gegend::N,кунде́м,regió
340,Gegend::N,кунде́м,contrada
341,Platz::N,ку́мдык,cabuda
342,Ort::N,вер,lloc
343,Ort::N,о́лмо,lloc
344,Seite::N,ӧ́рдыж,banda
345,Seite::N,ӧ́рдыж,costāt
346,Mitte::N,покше́л,mig
347,Mitte::N,покше́л,centre
348,Gegenstand::N,наста́,objecte
349,Sache::N,наста́,cosa
350,Rand::N,тӱр,vora
351,Rand::N,тӱр,marge
352,Kante::N,тӱр,caire
353,Kante::N,тӱр,cantell
354,Ecke::N,лук,cantonada
355,Spitze::N,вуй,punta
356,Ende::N,муча́ш,cap
357,Loch::N,рож,forāt
358,Winkel::N,лук,racó
359,Muster::N,пеза́к,dibuix
360,Muster::N,пеза́к,disseny
361,Muster::N,узо́р,dibuix
362,Muster::N,узо́р,disseny
363,Muster::N,ӱ́лгӧ,dibuix
364,Muster::N,ӱ́лгӧ,disseny
365,Größe::N,кӱ́кшыт,grandària
366,Länge::N,ку́тыш,longitud
367,Höhe::N,кӱ́кшыт,altura
368,Höhe::N,кӱ́кшыт,altitud
369,Gewicht::N,не́лыт,pes
370,Menge::N,чот,quantitat
371,Haufen::N,кы́шыл,pila
372,Reihe::N,рада́м,fila
373,Boot::N,пуш,bot
374,Boot::N,пуш,barca
375,Ruder::N,эшка́к,rem
376,Schlitten::N,тер,trineu
377,Schlitten::N,изде́р,trineu
378,Ski::N,е́че,esquí
379,Lagerfeuer::N,туло́то,foc de campament
380,Last::N,нӧ́лтыш,càrrega
381,Gang::N,ошкылма́ш,marxa
382,Schritt::N,о́шкыл,pas
383,Norden::N,йӱдйыма́л,nord
384,Süden::N,кечывалве́л,sud
385,Westen::N,касве́л,oest
386,Westen::N,касве́л,occident
387,Osten::N,эрве́л,est
388,Osten::N,эрве́л,orient
389,Holz::N,пу,fusta
390,Brett::N,оҥа́,taula
391,Platte::N,аста́р,placa
392,Stütze::N,чара́к,suport
393,Stange::N,лома́ш,vara
394,Stock::N,тоя́,pal
395,Stab::N,вара́,bastó
396,Stab::N,кашта́,bastó
397,Rohr::N,пуч,tub
398,Haus::N,пӧрт,casa
399,Heim::N,мӧ́ҥгӧ,llar
400,Ofen::N,комака́,estufa
401,Fußboden::N,кӱва́р,terra
402,Tisch::N,ӱсте́л,taula
403,Stuhl::N,пӱке́н,cadira
404,Wiege::N,шепка́,bressol
405,Bett::N,ва́кшыш,llit
406,Regal::N,шӧ́рлык,prestatgeria
407,Kiste::N,шо́ндык,caixa
408,Kiste::N,я́шлык,caixa
409,Fenster::N,окна́,finestra
410,Tür::N,омса́,porta
411,Tor::N,капка́,portal
412,Zaun::N,сава́р,tanca
413,Dach::N,леве́дыш,teulada
414,Leiter::N,тошка́лтыш,escala
415,Leiter::N,тошка́лтыш,escala de mà
416,Besen::N,ӱштерво́штыр,escombra
417,Spaten::N,ко́льмо,pala
418,Schaufel::N,сово́к,pala
419,Schaufel::N,су́ско,pala
420,Gabel::N,ви́лке,forquilla
421,Löffel::N,па́не,cullera
422,Löffel::N,совла́,cullera
423,Messer::N,кӱ́зӧ,coltell
424,Nagel::N,пуда́,clau
425,Netz::N,вапш,filat
426,Haken::N,са́гыле,ganxo
427,Griff::N,кыл,puny
428,Griff::N,кыл,mànec
429,Schloss::N,кӧгӧ́н,pany
430,Bild::N,сӱре́т,imatge
431,Figur::N,фигу́р,figura
432,Puppe::N,курча́к,nina
433,Beutel::N,меша́к,bossa
434,Bündel::N,арша́ш,feix
435,Bündel::N,арша́ш,paquet
436,Tasche::N,сумка́,bossa
437,Eimer::N,ведра́,galleda
438,Deckel::N,ко́мдыш,tapa
439,Deckel::N,ко́мдыш,tapadora
440,Geschirr::N,а́те,vaixella
441,Sack::N,куль,sac
442,Sack::N,куль,saca
443,Sack::N,меша́к,sac
444,Sack::N,меша́к,saca
445,Tasse::N,чу́кыр,tassa
446,Tasse::N,чашка́,tassa
447,Topf::N,ми́ске,pot
448,Topf::N,ми́ске,olla
449,Kessel::N,под,caldera
450,Essen::N,ко́чкыш,àpat
451,Essen::N,ко́чкыш,menjada
452,Nahrung::N,ку́рго,aliment
453,Speise::N,ко́чкыш,plat
454,Fleisch::N,шыл,carn
455,Getreide::N,шу́рно,cereals
456,Brei::N,пу́чымыш,puré
457,Brot::N,ки́нде,pa
458,Scheibe::N,ка́тыш,tall
459,Scheibe::N,ка́тыш,llesca
460,Fett::N,коя́,greix
461,Butter::N,ӱй,mantega
462,Öl::N,ӱй,oli
463,Salz::N,шинча́л,sal
464,Suppe::N,шӱр,sopa
465,Honig::N,мӱй,mel
466,Milch::N,шӧр,llet
467,Tee::N,чай,te
468,Leder::N,сура́н,cuir
469,Leder::N,шӱ́штӧ,cuir
470,Wolle::N,пун,llana
471,Stoff::N,куэ́м,tela
472,Stoff::N,посто́,tela
473,Nadel::N,и́ме,agulla
474,Faden::N,шӱ́ртӧ,fil
475,Knopf::N,по́лдыш,botó
476,Knoten::N,пышке́м,nus
477,Farbe::N,чия́,pintura
478,Kleidung::N,чие́м,roba
479,Kleidung::N,чие́м,vestits
480,Kleidung::N,вурге́м,roba
481,Kleidung::N,вурге́м,vestits
482,Hemd::N,ту́выр,camisa
483,Kragen::N,сога́,coll
484,Ärmel::N,шокш,màniga
485,Hose::N,йола́ш,pantalōns
486,Gürtel::N,ӱ́штӧ,cinturó
487,Mütze::N,упш,gorra
488,Schuh::N,боти́нке,sabata
489,Stiefel::N,кем,bota
490,Ring::N,шерга́ш,anell
491,Band::N,тасма́,veta
492,Band::N,тасма́,cinta
493,Band::N,ле́нте,veta
494,Band::N,ле́нте,cinta
495,Kamm::N,шерге́,pinta
496,Spiegel::N,вошто́нчыш,mirāll
497,Riemen::N,кӱзанӱ́штӧ,corretja
498,Schnur::N,кере́м,corda
499,Schnur::N,кандыра́,corda
500,Leine::N,вӱра́ҥ,corretja
501,Decke::N,леве́дыш,manta
502,Decke::N,леве́дыш,flassada
503,Decke::N,одея́л,manta
504,Decke::N,одея́л,flassada
505,Kissen::N,кӱ́пчык,coixí
506,Tuch::N,шо́выч,mocador
507,Handtuch::N,со́лык,tovallola
508,Kraft::N,вий,força
509,Kraft::N,куа́т,força
510,Stärke::N,куа́т,vigor
511,Stärke::N,карма́н,vigor
512,Gesundheit::N,таза́лык,salut
513,Krankheit::N,чер,malaltia
514,Schmerz::N,ко́рштыш,dolor
515,Wunde::N,су́сыр,ferida
516,Fieber::N,йӱштыму́ж,febre
517,Fieber::N,лихора́дке,febre
518,Arznei::N,эм,medicament
519,Brücke::N,кӱва́р,pont
520,Brunnen::N,вӱдвыне́м,pou
521,Weide::N,нурше́р,pastura
522,Pfad::N,йолго́рно,senda
523,Pfad::N,йолго́рно,sender
524,Pfad::N,сокма́к,senda
525,Pfad::N,сокма́к,sender
526,Weg::N,ко́рно,camí
527,Straße::N,ко́рно,carretera
528,Dorf::N,ял,poble
529,Stadt::N,ола́,ciutāt
530,Brief::N,се́рыш,carta
531,Buch::N,книга́,llibre
532,Buchstabe::N,буква́,lletra
533,Zeitung::N,газе́т,diāri
534,Leben::N,и́лыш,vida
535,Tod::N,колыма́ш,mort
536,Grab::N,шӱга́р,tomba
537,Kirche::N,че́рке,església
538,Sünde::N,су́лык,pecat
539,Gott::N,ю́мо,déu
540,Arbeiter::N,паша́зе,obrer
541,Chef::N,тӧра́,cap
542,Meister::N,маста́р,mestre
543,Arzt::N,врач,metge
544,Lehrer::N,ту́ныктышо,mestre
545,Geld::N,окса́,dinērs
546,Geschäft::N,сатулыма́ш,negoci
547,Laden::N,ке́выт,tenda
548,Laden::N,ке́выт,botiga
549,Preis::N,ак,preu
550,Ware::N,сату́,mercaderia
551,Nutzen::N,пайда́,profit
552,Reichtum::N,поя́нлык,riquesa
553,Welt::N,тӱня́,món
554,Land::N,эл,país
555,Staat::N,кугыжа́ныш,estat
556,König::N,кугыжа́,rei
557,Macht::N,власть,poder
558,Macht::N,власть,potència
559,Grenze::N,грани́ца,frontera
560,Krieg::N,сар,guerra
561,Feind::N,тушма́н,enemic
562,Gewalt::N,виешлыма́ш,violència
563,Kampf::N,кредалма́ш,lluita
564,Bogen[Waffe]::N,юҥе́ж,arc
565,Pfeil::N,пикш,fletxa
566,Gewehr::N,пыча́л,fusell
567,Gewehr::N,пыча́л,escopeta
568,Fehler::N,йо́ҥылыш,falta
569,Lüge::N,шоя́к,mentida
570,Schaden::N,зия́н,dany
571,Unglück::N,эҥге́к,desgràcia
572,Schuld::N,тита́к,culpa
573,Schuld::N,йола́,culpa
574,Alter::N,ийго́т,edat
575,Schluss::N,муча́ш,fi
576,Schluss::N,муча́ш,final
577,Zeit::N,жап,temps
578,Zeit::N,па́гыт,temps
579,Tag::N,ке́че,dia
580,Morgen::N,эр,matí
581,Mittag::N,кечыва́л,migdia
582,Abend::N,кас,vespre
583,Nacht::N,йӱд,nit
584,Woche::N,арня́,setmana
585,Monat::N,ты́лзе,mes
586,Jahr::N,ий,any
587,Frühling::N,шо́шо,primavera
588,Sommer::N,кеҥе́ж,estīu
589,Herbst::N,шы́же,tardor
590,Winter::N,те́ле,hivērn
591,Januar::N,шоркыйол,gener
592,Januar::N,идалыкву́й,gener
593,Januar::N,янва́рь,gener
594,Februar::N,пургыж,febrer
595,Februar::N,февра́ль,febrer
596,März::N,ӱярня,març
597,März::N,март,març
598,April::N,апре́ль,abril
599,Mai::N,ага,maig
600,Mai::N,май,maig
601,Juni::N,пеледыш,juny
602,Juni::N,ию́нь,juny
603,Juli::N,сӱрем,juliol
604,Juli::N,ию́ль,juliol
605,August::N,сорла,agost
606,August::N,агарма́н,agost
607,August::N,а́вгуст,agost
608,September::N,идым,setembre
609,September::N,сентя́брь,setembre
610,Oktober::N,шыжа,octubre
611,Oktober::N,октя́брь,octubre
612,November::N,кылме тылзе,novembre
613,November::N,ноя́брь,novembre
614,Dezember::N,дека́брь,desembre
615,Montag::N,шо́чмо,dilluns
616,Dienstag::N,ку́шкыжмо,dimarts
617,Mittwoch::N,вӱрге́че,dimecres
618,Donnerstag::N,изарня́,dijous
619,Freitag::N,кугарня́,divendres
620,Samstag::N,шуматке́че,dissabte
621,Sonntag::N,рушарня́,diumenge
622,groß::A,кугу́,gros
623,klein::A,изи́,petīt
624,lang::A,кужу́,llarg
625,kurz::A,кӱ́чык,curt
626,breit::A,кумда́,ample
627,schmal::A,а́ҥысыр,estret
628,dicht::A,ну́гыдо,dens
629,dick[Gegenstand]::A,кӱ́жгӧ,gruixūt
630,dünn::A,ви́чкыж,prim
631,fein::A,ты́гыде,fi
632,fest::A,чо́ткыдо,ferm
633,fest::A,чо́ткыдо,sòlid
634,flach::A,лапка́,pla
635,glatt::A,яклака́,llis
636,hart::A,пе́ҥгыде,dur
637,weich::A,пу́шкыдо,tou
638,rund::A,йырге́шке,rodó
639,spitz::A,коша́р,punxegut
640,scharf::A,пӱ́сӧ,agut
641,stumpf::A,токма́к,rom
642,stumpf::A,токма́к,esmussat
643,schwer::A,не́ле,pesāt
644,schön::A,сы́лне,bonīc
645,heiß::A,шо́кшо,calēnt
646,warm::A,ле́ве,càlid
647,kalt::A,йӱ́штӧ,fred
648,kühl::A,юа́лге,fresc
649,kühl::A,южгата́,fresc
650,frisch::A,свежа́,fresc
651,feucht::A,вӱ́дыжгӧ,humit
652,nass::A,нӧ́рӧ,mullat
653,trocken::A,ку́кшо,sec
654,voll::A,тич,ple
655,leer::A,яра́,buit
656,offen::A,виш,obert
657,geschlossen::A,пе́тырыме,tancat
658,geschlossen::A,тӱ́чмӧ,tancat
659,sauber::A,ару́,net
660,sauber::A,янда́р,net
661,schmutzig::A,лавыра́н,brut
662,schmutzig::A,ла́выргыше,brut
663,roh::A,кӱ́чымӧ,cru
664,reif::A,лӧза́,madur
665,lecker::A,ту́тло,deliciós
666,süß::A,ше́ре,dolç
667,bitter::A,ко́чо,amarg
668,sauer::A,шо́по,agre
669,hell::A,во́лгыдо,clar
670,dunkel::A,пычке́мыш,fosc
671,schwarz::A,шола́,negre
672,weiß::A,ош,blanc
673,rot::A,йошка́р,vermēll
674,gelb::A,сар,groc
675,blau::A,ка́нде,blau
676,grün::A,ужа́р,verd
677,grau::A,сур,gris
678,bunt::A,олача́,multicolor
679,billig::A,шу́лдо,barat
680,teuer::A,ше́рге,car
681,wertvoll::A,шергака́н,preciós
682,blind::A,со́кыр,cec
683,taub::A,соҥгыра́,sord
684,kräftig::A,куа́тле,fort
685,kräftig::A,куа́тле,vigorós
686,stark::A,вия́н,fort
687,schwach::A,а́лдыме,feble
688,fett::A,коя́,gras
689,schlank::A,йоштката́,esvelt
690,schlank::A,яжу́,esvelt
691,hübsch::A,чеве́р,maco
692,böse::A,шы́де,dolent
693,dumm::A,аҥыра́,ximple
694,dumm::A,аҥыра́,estúpid
695,faul::A,його,gandūl
696,faul::A,його,mandrós
697,fleißig::A,ты́ршыше,diligēnt
698,geizig::A,чаҥга́,avar
699,klug::A,уша́н,intel·ligent
700,geschickt::A,уста́,hàbil
701,lieb::A,ала́л,amat
702,lieb::A,ала́л,estimat
703,lustig::A,весела́,alegre
704,sanft::A,ны́жылге,suau
705,hungrig::A,шу́жышо,afamat
706,krank::A,че́рле,malālt
707,nackt::A,чарама́т,nu
708,traurig::A,ойга́н,trist
709,lebendig::A,и́лыше,viu
710,gut::A,сай,bo
711,schlecht::A,уда́,dolēnt
712,schlecht::A,шӱ́кшӧ,dolēnt
713,richtig::A,чы́нле,just
714,richtig::A,чы́нле,correcte
715,schlimm::A,аля́к,greu
716,schlimm::A,тыра́н,greu
717,wahr::A,чы́нле,vertader
718,wahr::A,чы́нле,veritable
719,wahr::A,настоя́щий,vertader
720,wahr::A,настоя́щий,veritable
721,alt::A,то́што,vell
722,neu::A,у,nou
723,ehemalig::A,о́нчычсо,antic
724,ehemalig::A,онда́кысе,antic
725,alt[Lebewesen]::A,шо́нто,vell
726,jung::A,са́мырык,jove
727,arm::A,нужна́,pobre
728,reich::A,поя́н,ric
729,bekannt::A,па́лыме,conegut
730,berühmt::A,лӱ́млӧ,famós
731,fremd::A,йот,estrany
732,verschieden::A,тӱ́рлӧ,diferent
733,nah::A,ли́шыл,pròxim
734,fern::A,тора́,llunyà
735,fern::A,тора́,distant
736,fern::A,мӱ́ндыр,llunyà
737,fern::A,мӱ́ндыр,distant
738,linker::A,шола́,esquerre
739,rechter::A,пурла́,dret
740,anderer::A,вес,altre
741,anderer::A,мо́ло,altre
742,erster::A,и́кымше,primer
743,zweiter::A,ко́кымшо,segon
744,dritter::A,ку́мшо,tercer
745,letzter::A,пыта́ртыш,últim
746,allein::ADV,шкет,sol
747,auf einmal::ADV,икана́ште,d'una vegada
748,zusammen::ADV,пырля́,junt
749,lange::ADV,кужу́н,molt de temps
750,plötzlich::ADV,кенета́,de cop
751,plötzlich::ADV,кенета́,de sobte
752,sofort::ADV,кызыта́к,de seguida
753,später::ADV,варара́к,més tard
754,jetzt::ADV,ы́нде,ara
755,jetzt::ADV,кы́зыт,ara
756,heute::ADV,та́че,avūi
757,morgen::ADV,эрла́,demà
758,bald::ADV,вашке́,aviāt
759,dann::ADV,вара́,després
760,gestern::ADV,теҥге́че,ahir
761,einst::ADV,икана́,anteriorment
762,damals::ADV,туна́м,llavōrs
763,damals::ADV,туна́м,aleshores
764,danach::ADV,вара́,després
