,Concept_ID,kk,xal
112,Anhöhe::N,қырат,хамр
113,Berg::N,тау,уул
114,Gipfel::N,төбе,ора
115,Höhle::N,үңгір,хадин көндә
116,Abhang::N,бауыр,ташу
117,Quelle::N,қайнар,булг
118,Bach::N,жылға,һооҗур
119,Fluss::N,өзен,һол
120,Ufer::N,жиек,көвә
121,Küste::N,жиегі,көвә
122,Küste::N,жиегі,теңгсин көвә
123,Küste::N,жағалау,көвә
124,Küste::N,жағалау,теңгсин көвә
125,Festland::N,құрылық,хүүрә һазр
126,Meer::N,теңіз,теңгс
127,Bucht::N,шығанақ,цекә
128,Bucht::N,шығанақ,теңгсин цекә
129,Insel::N,арал,арл
130,Blume::N,гүл,цецг
131,Gras::N,от,ноһан
132,Wurzel::N,түбір,уңг
133,Baum::N,ағаш,модн
134,Baum::N,дарақ,модн
135,Stamm::N,сояу,шилв
136,Stamm::N,сояу,һол модн
137,Stamm::N,оқпан,шилв
138,Stamm::N,оқпан,һол модн
139,Rinde::N,қабық,көрсн
140,Ast::N,бұтақ,ац
141,Zweig::N,шыбық,ац
142,Blatt::N,жапырақ,хамтхасн
143,Birke::N,қайың,хусм модн
144,Kiefer[Baum]::N,қарағай,шар харһа
145,Weide[Baum]::N,тал,удн
146,Tanne::N,шырша,җөөлн цаһан модн
147,Horn::N,мүйіз,өвр
148,Feder::N,қаламұш,өрвлг
149,Fell::N,тері,арсн
150,Flügel::N,қанат,җивр
151,Klaue::N,тырнақ,хумсн
152,Kralle::N,аяқ,тавг
153,Schwanz::N,құйрық,сүл
154,Ei::N,жұмыртқа,өндгн
155,Nest::N,ұя,үр
156,Bau::N,жатақ,нүкн
157,Tier::N,айуан,мал
158,Tier::N,жануар,мал
159,Herde::N,пада,сүрг мал
160,Kuh::N,сиыр,үкр
161,Bulle::N,өгіз,бух
162,Pferd::N,жылқы,мөрн
163,Schaf::N,қой,хөн
164,Schwein::N,шошқа,һаха
165,Hund::N,ит,ноха
166,Katze::N,мысық,мис
167,Bär::N,аю,аю
168,Eichhörnchen::N,тиін,кермн
169,Elch::N,бұғы,хандһа
170,Fuchs::N,түлкі,арат
171,Hase::N,қоян,туула
172,Maus::N,қаптесер,хулһн
173,Wolf::N,бөрі,чон
174,Wolf::N,қасқыр,чон
175,Vogel::N,құс,шовун
176,Schwarm::N,топ,зел
177,Schwarm::N,үйір,зел
178,Huhn::N,тауық,така
179,Huhn::N,мекиен,така
180,Hahn::N,әтеш,эр така
181,Hahn::N,қораз,эр така
182,Gans::N,қаз,һалун
183,Adler::N,бүркіт,һәрд
184,Ente::N,үйрек,нуһсн
185,Eule::N,жапалақ,һурвлһ
186,Kranich::N,тырна,тоһрун
187,Krähe::N,қарға,шаазһа
188,Kuckuck::N,көкек,эргин хуцдг
189,Schwan::N,аққу,хун
190,Fisch::N,балық,заһсн
191,Barsch::N,алабұға,шүрг
192,Hecht::N,шортан,цурх
193,Schlange[Tier]::N,жылан,моһа
194,Wurm::N,шұбалшаң,өтн
195,Spinne::N,өрмекші,аралҗн
196,Ameise::N,қүмырска,шорһлҗн
197,Laus::N,бит,бөөсн
198,Mücke::N,маса,бөкүн
199,Fliege::N,шыбын,батхн
200,Schmetterling::N,көбелек,эрвәкә
201,Beere::N,жидек,бөөлҗрһн
202,Apfel::N,алма,альмн
203,Pilz::N,қозықұйрық,теңгрин ки
204,Pilz::N,саңыраукулақ,теңгрин ки
205,Zwiebel::N,жуа,мәңгрснә толһа
206,Saat::N,тұқым,буудян экн
207,Korn::N,дән,экн
208,Heu::N,шөп,өвсн
209,Schale::N,қабық,хальсн
210,Schale::N,қабығы,хальсн
211,Grube::N,ор,нүкн
212,Falle::N,дұзақ,урх
213,Falle::N,дұзақ,хавх
214,Falle::N,қақпан,урх
215,Falle::N,қақпан,хавх
216,Schlinge::N,ілмек,бүтү
217,Spur::N,із,мөр
218,Asche::N,күл,үмсн
219,Dreck::N,былғаныш,бальчг
220,Eisen::N,темір,төмр
221,Gold::N,алтын,алтн
222,Silber::N,күміс,мөңгн
223,Silber::N,күміс,цаһан мөңгн
224,Kohle::N,көмір,нүүрсн
225,Glas::N,шыны,шил
226,Lehm::N,балшық,шавр
227,Sand::N,құм,элсн
228,Mensch::N,адам,күн
229,Mensch::N,адам,күмн
230,Mann::N,еркек,эр
231,Mann::N,ер адам,эр
232,Frau::N,бике,күүкд күн
233,Frau::N,қатын,күүкд күн
234,Kind::N,бала,үрн
235,Kind::N,перзент,үрн
236,Junge::N,бала,көвүн
237,Junge::N,ер бала,көвүн
238,Mädchen::N,қыз,бичкн күүкн
239,Familie::N,жанұя,бүл
240,Großvater::N,ата,өвк эцк
241,Großvater::N,ата,наһц эцк
242,Großmutter::N,әже,эмг эк
243,Großmutter::N,әже,наһц эк
244,Großmutter::N,әжей,эмг эк
245,Großmutter::N,әжей,наһц эк
246,Eltern::N,ата-аналар,эк эцк хойр
247,Vater::N,әке,эцк
248,Mutter::N,ана,эк
249,Sohn::N,ұл,көвүн
250,Tochter::N,қызым,күүкн
251,Bruder::N,бауырым,дү көвүн
252,Schwester::N,әпке,эгч
253,Schwester::N,әпке,дү күүкн
254,Onkel::N,көке,авһ
255,Onkel::N,көке,наһцх
256,Tante::N,тәте,наһц эгч
257,Ehemann::N,ер,залу
258,Ehefrau::N,зайып,гергн
259,Freude::N,қуаныш,байр
260,Freude::N,сүйініш,байр
261,Freude::N,шат-думан,байр
262,Freude::N,қуаныштылық,байр
263,Gelächter::N,күлу,инәдн
264,Glück::N,бақыт,җирһл
265,Glück::N,бақыт,сәәхн җирһл
266,Glück::N,бақыттылық,җирһл
267,Glück::N,бақыттылық,сәәхн җирһл
268,Kummer::N,аза,зовлң
269,Kummer::N,қайғы,зовлң
270,Kummer::N,қасырет,зовлң
271,Wunsch::N,мүдде,дурн
272,Lust::N,тәбет,җилвтлһн
273,Lust::N,ынтызар,җилвтлһн
274,Lust::N,құштарлық,җилвтлһн
275,Geist::N,рух,зөрг
276,Gedanke::N,ой,ухан
277,Gedächtnis::N,ес,чееҗин тодлвр
278,Gedächtnis::N,жады,чееҗин тодлвр
279,Gedächtnis::N,ақыл-ес,чееҗин тодлвр
280,Verstand::N,ақыл,ухан
281,Verstand::N,парасат,ухан
282,Sinn::N,мән,учр-утх
283,Sinn::N,маныз,учр-утх
284,Sinn::N,мағына,учр-утх
285,Sinn::N,мән-мағына,учр-утх
286,Grund::N,себеп,учр
287,Grund::N,себеп,шалтан
288,Wahrheit::N,рас,үнн
289,Gespräch::N,әңгіме,күүндвүр
290,Märchen::N,ертеп,тууль
291,Märchen::N,ертек,тууль
292,Erzählung::N,әңгіме,келвр
293,Nachricht::N,хабар,медүллһн
294,Neuigkeit::N,жаңалық,зәңг
295,Name::N,ат,нерн
296,Name::N,атау,нерн
297,Rätsel::N,жұмбақ,тәәлвртә тууль
298,Rede::N,сөз,келлһн
299,Sprache::N,тіл,келн
300,Stimme::N,үн,дун
301,Stimme::N,әуен,дун
302,Stimme::N,дауыс,дун
303,Wort::N,сөз,үг
304,Zeichen::N,ишара,темдг
305,Ruf::N,айғай,дуудлһн
306,Lärm::N,айғай-шу,шууган
307,Lärm::N,айғай-ұйғай,шууган
308,Laut::N,дыбыс,ә
309,Laut::N,дауыс,ә
310,Ton::N,әуен,дун
311,Lied::N,ән,дун
312,Lied::N,жыр,дун
313,Lied::N,ән-жыр,дун
314,Ruhe::N,тыныштық,амулң
315,Leute::N,кісілер,әмтн
316,Volk::N,халық,улс
317,Arbeit::N,еңбек,көдлмш
318,Gast::N,қонақ,гиич
319,Gast::N,мейман,гиич
320,Geschenk::N,қадия,белг
321,Spiel::N,ойын,наадн
322,Gesellschaft::N,қауым,олн
323,Gesellschaft::N,жұртшылық,олн
324,Hilfe::N,жэрдем,нөкд
325,Freund::N,дос,иньг
326,Kamerad::N,дос-жар,үр
327,Angelegenheit::N,жұмыс,керг
328,Anzahl::N,сан,то
329,Anzahl::N,саны,то
330,Art::N,түр,зүүл
331,Stück::N,тілім,хусг
332,Teil::N,үлес,хүв
333,Teil::N,бөлшек,хүв
334,Hälfte::N,жарты,өрәл
335,Kreis::N,шеңбер,төгрг
336,Kreuz::N,крест,кирс
337,Linie::N,сызық,зурасн
338,Strich::N,сызық,татасн
339,Abstand::N,ара,зә
340,Abstand::N,аралық,зә
341,Entfernung::N,аралық,һазр
342,Gegend::N,өңір,һазр
343,Platz::N,орны,зә
344,Ort::N,орын,бәәрн
345,Seite::N,жақ,тал
346,Seite::N,жақ,хаҗу
347,Seite::N,жақ,хәврһ
348,Seite::N,бүйір,тал
349,Seite::N,бүйір,хаҗу
350,Seite::N,бүйір,хәврһ
351,Mitte::N,ортасы,дунд
352,Gegenstand::N,зат,юмн
353,Gegenstand::N,нәрсе,юмн
354,Sache::N,бұйым,юмн
355,Rand::N,шет,зах
356,Rand::N,шеті,зах
357,Kante::N,қыр,ирмәг
358,Kante::N,қыры,ирмәг
359,Ecke::N,қыры,өнцг
360,Ecke::N,бұрыш,өнцг
361,Spitze::N,ұшы,үзүр
362,Ende::N,аяқ,үзүр
363,Ende::N,соңы,үзүр
364,Loch::N,тесік,хаһрха
365,Winkel::N,мүйіс,булң
366,Muster::N,мәнер,намч
367,Größe::N,ауқым,кемҗән
368,Größe::N,көлемдік,кемҗән
369,Länge::N,бой,ут
370,Länge::N,ұзындық,ут
371,Höhe::N,жоғарылық,өндр
372,Höhe::N,биіктік,өндр
373,Gewicht::N,салмақ,күнд
374,Gewicht::N,салмақ,чиңнүр
375,Menge::N,мөлшер,ик
376,Haufen::N,үйме,ова
377,Haufen::N,үйінді,ова
378,Reihe::N,сап,зерг
379,Reihe::N,сап,зерглән
380,Boot::N,қайық,оңһц
381,Ruder::N,ескек,хәәв
382,Schlitten::N,шана,цан
383,Ski::N,шаңғы,лыҗ
384,Lagerfeuer::N,алау,костёр
385,Last::N,ауырлық,күнд
386,Last::N,ауыр зат,күнд
387,Gang::N,жүріс,йовлһн
388,Schritt::N,адым,ишкм
389,Norden::N,солтүстік,ар үзг
390,Norden::N,терістік,ар үзг
391,Süden::N,оңтүстік,өмн
392,Süden::N,оңтүстік,өмн үзг
393,Westen::N,батыс,барун
394,Westen::N,батыс,барун үзг
395,Osten::N,күншығыс,зүн
396,Osten::N,күншығыс,зүн үзг
397,Holz::N,ағаш,модн
398,Holz::N,сүрек,модн
399,Brett::N,тақта,харһа
400,Platte::N,тақта,хавтха чолун
401,Stütze::N,тіреу,тулг
402,Stange::N,қада,уньн
403,Stock::N,сойыл,модн
404,Stab::N,сырық,шуург
405,Rohr::N,құбыр,турва
406,Haus::N,үй,гер
407,Heim::N,үйлі,гер-бул
408,Heim::N,шаңырақ,гер-бул
409,Ofen::N,ошақ,беш
410,Ofen::N,пеш,беш
411,Fußboden::N,еден,девскр
412,Tisch::N,үстел,ширә
413,Stuhl::N,орындық,стул
414,Wiege::N,бесік,өлгә
415,Wiege::N,бесік,дүүҗң
416,Bett::N,кереует,орн
417,Bett::N,кереует,орндг
418,Regal::N,сөре,таг
419,Regal::N,сөре,тәвц
420,Kiste::N,жәшік,яршг
421,Fenster::N,терезе,терз
422,Tür::N,есік,үүдн
423,Tor::N,дарбаза,үүдн
424,Tor::N,дарбаза,өргн үүдн
425,Tor::N,дарбаза,хашан үүдн
426,Zaun::N,дуал,хаша
427,Dach::N,шатыр,деевр
428,Leiter::N,саты,шат
429,Leiter::N,саты,давшур
430,Leiter::N,басқыш,шат
431,Leiter::N,басқыш,давшур
432,Besen::N,сыпырғыш,сәвүр
433,Spaten::N,күрек,күрз
434,Schaufel::N,қалақ,совг
435,Gabel::N,аша,серә
436,Gabel::N,шанышқы,серә
437,Löffel::N,қасық,ухр
438,Messer::N,пышақ,утх
439,Nagel::N,мық,хадасн
440,Nagel::N,шеге,хадасн
441,Netz::N,керегекөз,гөлм
442,Haken::N,ілмек,дегә
443,Griff::N,сап,иш
444,Griff::N,сап,бәрүл
445,Griff::N,тұтқа,иш
446,Griff::N,тұтқа,бәрүл
447,Schloss::N,құлып,оньс
448,Schloss::N,бекіткіш,оньс
449,Bild::N,сурет,зург
450,Figur::N,тұлға,фигур
451,Puppe::N,қуыршақ,наадһа
452,Beutel::N,қапшық,мишг
453,Bündel::N,байлам,багла
454,Bündel::N,байлам,боодһа
455,Tasche::N,дорба,сумк
456,Eimer::N,шелек,суулһ
457,Deckel::N,жапқыш,бүркәсн
458,Geschirr::N,ыдыс,сав
459,Geschirr::N,ыдыс,сав-сарх
460,Sack::N,қап,мишг
461,Tasse::N,шыныаяқ,ааһ
462,Topf::N,кәстрөл,кастрюль
463,Kessel::N,қазан,хәәсн
464,Essen::N,ас,зоогллһн
465,Nahrung::N,ас,теҗәл
466,Nahrung::N,тамақ,теҗәл
467,Speise::N,тағам,хот
468,Fleisch::N,ет,махн
469,Getreide::N,дәнді,хот болҗ эдлгддг цецгүдтә урһмл
470,Brei::N,ботқа,хаш
471,Brot::N,күлше,өдмг
472,Scheibe::N,тілім,зүсм
473,Fett::N,май,өөкн
474,Butter::N,май,тосн
475,Öl::N,май,тосн
476,Salz::N,тұз,давсн
477,Suppe::N,көже,шөлн
478,Honig::N,бал,бал
479,Milch::N,сүт,үсн
480,Tee::N,шай,цә
481,Leder::N,көн,арсн
482,Wolle::N,жүн,утцн
483,Wolle::N,жүн,эд
484,Stoff::N,мата,эд
485,Stoff::N,кездеме,эд
486,Nadel::N,ине,зүн
487,Faden::N,жіп,утцн
488,Knopf::N,түйме,товч
489,Knoten::N,түйін,зәңгдә
490,Farbe::N,рең,будг
491,Kleidung::N,киім,хувцн
492,Kleidung::N,киім,хувц-хунр
493,Hemd::N,жейде,киилг
494,Kragen::N,жаға,зах
495,Ärmel::N,жең,ханцн
496,Hose::N,шалбар,шалвур
497,Gürtel::N,белбеу,бүс
498,Mütze::N,қалпақ,махла
499,Schuh::N,кебіс,башмгуд
500,Stiefel::N,етік,һосн
501,Ring::N,жүзік,билцг
502,Band::N,таспа,лент
503,Kamm::N,тарақ,сам
504,Spiegel::N,айна,толь
505,Riemen::N,қайыс,бүс
506,Schnur::N,жіп,деесн
507,Leine::N,тізгін,бурнтг
508,Leine::N,тізгін,нохан көтлвр
509,Decke::N,көрпе,көнҗл
510,Kissen::N,жастық,дер
511,Tuch::N,орамал,альчур
512,Handtuch::N,сүлгі,полотенц
513,Handtuch::N,сүлгі,һар-нүүрин альчур
514,Kraft::N,қуат,күчн
515,Kraft::N,қарқын,күчн
516,Kraft::N,әл-шама,күчн
517,Kraft::N,әл-дәрмен,күчн
518,Stärke::N,әл,чидл
519,Stärke::N,күш,чидл
520,Gesundheit::N,денсаулык,эрүл-менд
521,Krankheit::N,ауру,өвчн
522,Schmerz::N,ауру,өвдлһн
523,Wunde::N,зақым,шав
524,Wunde::N,жарақат,шав
525,Fieber::N,безгек,безг
526,Fieber::N,қалтырау,безг
527,Fieber::N,қызу көтерілуі,безг
528,Arznei::N,дәрі,эм
529,Arznei::N,дәрі-дәрмек,эм
530,Brücke::N,көпір,тагт
531,Brunnen::N,құдық,худг
532,Weide::N,өріс,малын идг
533,Weide::N,жайылым,малын идг
534,Pfad::N,жол,цувг
535,Weg::N,жол,хаалһ
536,Straße::N,жол,зам
537,Dorf::N,ауыл,хотн
538,Stadt::N,қала,балһсн
539,Stadt::N,шаһар,балһсн
540,Brief::N,хат,бичг
541,Brief::N,жазу,бичг
542,Buch::N,кітап,дегтр
543,Buchstabe::N,әріп,үзг
544,Buchstabe::N,қаріп,үзг
545,Zeitung::N,газет,газет
546,Leben::N,өмір,җирһл
547,Leben::N,тіршілік,җирһл
548,Tod::N,опат,үкл
549,Tod::N,опат,өңгрлһн
550,Grab::N,мола,оршалһна нүкн
551,Grab::N,мазар,оршалһна нүкн
552,Kirche::N,шіркеу,чонҗ
553,Sünde::N,күнә,нүл
554,Sünde::N,күнә,килнц
555,Gott::N,алла,бурхн
556,Gott::N,құдай,бурхн
557,Gott::N,тәңірі,бурхн
558,Gott::N,пәруардігер,бурхн
559,Gott::N,жаратқан тәңірі,бурхн
560,Arbeiter::N,жүмысшы,көдлмшч
561,Chef::N,басшы,толһач
562,Chef::N,жұмыс басқарушысы,толһач
563,Meister::N,шебер,урн
564,Meister::N,өнерпаз,урн
565,Arzt::N,дәрігер,эмч
566,Lehrer::N,мұғалім,багш
567,Geld::N,пұл,мөңгн
568,Geschäft::N,бизнес,көдлмш
569,Laden::N,дүкен,лавк
570,Preis::N,ақы,үн
571,Preis::N,құны,үн
572,Preis::N,нарық,үн
573,Ware::N,тауар,эд-тавр
574,Nutzen::N,пайда,олз
575,Reichtum::N,бақ-дәулет,зөөр
576,Welt::N,әлем,орчлң
577,Welt::N,әлем,делкә
578,Welt::N,жиһан,орчлң
579,Welt::N,жиһан,делкә
580,Land::N,аймақ,орн-нутг
581,Staat::N,мемлекет,государств
582,König::N,патша,хан
583,Macht::N,өкімет,йосн
584,Macht::N,қожалық,йосн
585,Grenze::N,шек,меҗә
586,Krieg::N,соғыс,дән
587,Feind::N,жау,дәәсн
588,Feind::N,дұшпан,дәәсн
589,Gewalt::N,зорлык,күч һарһлһн
590,Gewalt::N,зорлық-зомбылык,күч һарһлһн
591,Kampf::N,күрес,ноолдан
592,Kampf::N,күрес,бәрлдлһн
593,Kampf::N,алыспақ,ноолдан
594,Kampf::N,алыспақ,бәрлдлһн
595,Bogen[Waffe]::N,саржа,саадг
596,Pfeil::N,жебе,сумн
597,Gewehr::N,қару,бу
598,Fehler::N,әбес,алдг
599,Fehler::N,қаталық,алдг
600,Lüge::N,өтірік,худл
601,Schaden::N,зиян,хорлт
602,Schaden::N,зарар,хорлт
603,Unglück::N,пәле,гүрм
604,Unglück::N,қасырет,гүрм
605,Unglück::N,ауыртпалық,гүрм
606,Schuld::N,айыптылық,гем
607,Schuld::N,айыптылық,буру
608,Alter::N,жас,насн
609,Alter::N,жас шамасы,насн
610,Schluss::N,ада,чилгч
611,Schluss::N,бітуі,чилгч
612,Zeit::N,уақыт,цаг
613,Tag::N,күн,өдр
614,Morgen::N,таң,өрүн
615,Morgen::N,таңертең,өрүн
616,Mittag::N,талтүс,үд
617,Abend::N,кеш,асхн
618,Nacht::N,түн,сө
619,Woche::N,апта,долан хонг
620,Monat::N,ай,сар
621,Jahr::N,жыл,җил
622,Frühling::N,көктем,хавр
623,Sommer::N,жаз,зун
624,Herbst::N,күз,намр
625,Winter::N,қыс,үвл
626,Januar::N,каңтар,январь
627,Februar::N,ақпан,февраль
628,März::N,наурыз,март
629,März::N,наурыз,моһа сар
630,April::N,сәуір,апрель
631,Mai::N,мамыр,май
632,Juni::N,маусым,июнь
633,Juni::N,маусым,мөчн сар
634,Juli::N,шілде,июль
635,August::N,сүмбіле,август
636,August::N,тамыз,август
637,September::N,қыркүйек,һаха сар
638,Oktober::N,ақырап,октябрь
639,November::N,қараша,ноябрь
640,November::N,қараша,үкр сар
641,Dezember::N,желтоқсан,бар сар
642,Montag::N,дүйсенбі,понедельник
643,Dienstag::N,сейсенбі,вторник
644,Mittwoch::N,сәрсенбі,среда
645,Mittwoch::N,сәрсенбі,үлмҗ өдр
646,Donnerstag::N,бейсенбі,четверг
647,Donnerstag::N,бейсенбі,пүрвә өдр
648,Freitag::N,жұма,пятниц
649,Samstag::N,сенбі,суббот
650,Sonntag::N,жексембі,нарн өдр
651,Sonntag::N,жексембі,воскресень
652,groß::A,алпамсадай,ик
653,klein::A,кішкене,бичкн
654,klein::A,қарғадай,бичкн
655,lang::A,сопақ,ут
656,lang::A,сорайған,ут
657,kurz::A,кеспелтек,оһтр
658,breit::A,айдынды,өргн
659,schmal::A,қысық,уутьхн
660,dicht::A,жиі,нигт
661,dick[Gegenstand]::A,шомбал,зузан
662,dünn::A,жұқа,нимгн
663,dünn::A,жіңішке,нимгн
664,fein::A,қаңылтақ,нәрхн
665,fest::A,берік,бат
666,fest::A,мызғымас,бат
667,flach::A,жалпак,хавтха
668,glatt::A,типыл,тегш
669,glatt::A,типыл,тиньгр
670,hart::A,қатты,хату
671,weich::A,жұмсақ,җөөлн
672,weich::A,жұмсақ,җөөлкн
673,rund::A,домалақ,төгрг
674,spitz::A,үшкір,шовһр
675,scharf::A,сүйрік,хурц
676,stumpf::A,доғал,мука
677,stumpf::A,өтпейтін,мука
678,schwer::A,салмақты,күнд
679,schön::A,сұлу,сәәхн
680,heiß::A,ыссы,халун
681,warm::A,жылы,дулан
682,kalt::A,аязды,киитн
683,kühl::A,салқын,серүн
684,frisch::A,таза,серүн
685,frisch::A,жаңа,серүн
686,feucht::A,нам,чиигтә
687,feucht::A,дымқылды,чиигтә
688,nass::A,сулы,чиигтә
689,trocken::A,құрғақ,хагсу
690,voll::A,толы,дүүрң
691,leer::A,бос,сул
692,leer::A,бос,хоосн
693,offen::A,ашып қойылған,секәтә
694,geschlossen::A,жабулы,хаалһата
695,sauber::A,дақсыз,цевр
696,sauber::A,мұнтаздай,цевр
697,schmutzig::A,айғыз,киртә
698,schmutzig::A,сатпақ,киртә
699,schmutzig::A,сатал-сатал,киртә
700,roh::A,шикі,түүкә
701,reif::A,піскен,болсн
702,lecker::A,дәмді,әмтәхн
703,süß::A,тәтті,әмтәхн
704,bitter::A,ащы,һашун
705,bitter::A,ащы,һашута
706,sauer::A,қышқыл,ишклң
707,hell::A,жарық,герлтә
708,hell::A,жарқын,герлтә
709,dunkel::A,қараңғы,харңһу
710,schwarz::A,қара,хар
711,weiß::A,ақ,цаһан
712,rot::A,қызыл,улан
713,gelb::A,сары,шар
714,blau::A,көк,көк
715,grün::A,жасыл,көк
716,grau::A,бозамық,бор
717,bunt::A,алабажак,алг
718,bunt::A,алабажак,эрәтә
719,billig::A,арзан,кимд
720,teuer::A,бағалы,үнтә
721,wertvoll::A,құнды,үнтә
722,wertvoll::A,құнды,эрднь
723,wertvoll::A,қымбат,үнтә
724,wertvoll::A,қымбат,эрднь
725,blind::A,көзсіз,сохр
726,blind::A,көр,сохр
727,blind::A,көр_соқыр,сохр
728,taub::A,керең,дүлә
729,taub::A,саңырау,дүлә
730,kräftig::A,қуатты,күчтә
731,kräftig::A,қарымды,күчтә
732,stark::A,білекті,чаңһ
733,schwach::A,әлсіз,күчн тату
734,schwach::A,күшсіз,күчн тату
735,schwach::A,қайратсыз,күчн тату
736,fett::A,семіз,тарһн
737,schlank::A,ашаң,эццн
738,hübsch::A,ажарлы,көркхн
739,hübsch::A,шырайлы,көркхн
740,böse::A,өш,уурта
741,böse::A,сұм,уурта
742,böse::A,жауыз,уурта
743,dumm::A,көкми,тенг
744,dumm::A,ақымақ,тенг
745,dumm::A,миы жоқ,тенг
746,faul::A,жалқау,залху
747,faul::A,еріншек,залху
748,fleißig::A,ұқыпты,кинән
749,fleißig::A,ұқыпты,кинмһә
750,geizig::A,сараң,ховдг
751,klug::A,жетік,ухата
752,klug::A,ақылды,ухата
753,geschickt::A,шебер,чадмг
754,lieb::A,абзал,эңкр
755,lieb::A,айналайын,эңкр
756,lustig::A,көңілді,сергмҗтә
757,lustig::A,көңілді,җирһлтә
758,sanft::A,жуас,номһн
759,hungrig::A,аш,өлн
760,hungrig::A,аш,харһнсн
761,krank::A,кеселді,өвчтә
762,krank::A,кеселді,шалтгта
763,nackt::A,жалаңаш,нүцкн
764,traurig::A,қапа,һундлта
765,lebendig::A,тірі,әмд
766,lebendig::A,жанды,әмд
767,gut::A,жақсы,сән
768,schlecht::A,жаман,му
769,richtig::A,дұрыс,зөвтә
770,schlimm::A,жаман,җигшүртә
771,wahr::A,нағыз,үнн
772,wahr::A,нағыз,мөн
773,alt::A,ескі,хуучн
774,neu::A,жаңа,шин
775,ehemalig::A,өткен,хуучн
776,ehemalig::A,бұрынғы,хуучн
